pathway,count
"Alanine and aspartate metabolism",13
"Alkaloid synthesis",1
"Aminosugar metabolism",32
"Androgen and estrogen synthesis and metabolism",26
"Arachidonic acid metabolism",41
"Arginine and proline metabolism",40
"Beta-Alanine metabolism",10
"Bile acid synthesis",185
"Biotin metabolism",12
"Blood group synthesis",47
"Butanoate metabolism",3
"C5-branched dibasic acid metabolism",8
"Cholesterol metabolism",242
"Chondroitin sulfate degradation",44
"Chondroitin synthesis",45
"Citric acid cycle",20
"CoA catabolism",4
"CoA synthesis",14
"Cytochrome metabolism",15
"D-alanine metabolism",3
"Dietary fiber binding",12
"Drug metabolism",573
"Eicosanoid metabolism",93
"Exchange/demand reaction",1787
"Fatty acid oxidation",961
"Fatty acid synthesis",239
"Folate metabolism",59
"Fructose and mannose metabolism",23
"Galactose metabolism",14
"Glutamate metabolism",16
"Glutathione metabolism",16
"Glycerophospholipid metabolism",165
"Glycine, serine, alanine, and threonine metabolism",47
"Glycolysis/gluconeogenesis",42
"Glycosphingolipid metabolism",71
"Glyoxylate and dicarboxylate metabolism",14
"Heme degradation",4
"Heme synthesis",19
"Heparan sulfate degradation",27
"Hippurate metabolism",2
"Histidine metabolism",14
"Hyaluronan metabolism",5
"Inositol phosphate metabolism",65
"Keratan sulfate degradation",76
"Keratan sulfate synthesis",22
"Leukotriene metabolism",8
"Limonene and pinene degradation",3
"Linoleate metabolism",9
"Lipoate metabolism",1
"Lysine metabolism",31
"Methionine and cysteine metabolism",46
"Miscellaneous",152
"N-glycan degradation",12
"N-glycan metabolism",6
"N-glycan synthesis",18
"NAD metabolism",27
"Nucleotide interconversion",164
"Nucleotide metabolism",1
"Nucleotide salvage pathway",3
"Nucleotide sugar metabolism",1
"O-glycan metabolism",18
"Oxidative phosphorylation",10
"Pentose phosphate pathway",41
"Peptide metabolism",242
"Phenylalanine metabolism",36
"Phosphatidylinositol phosphate metabolism",40
"Propanoate metabolism",15
"Protein formation",2
"Purine catabolism",34
"Purine synthesis",15
"Pyrimidine catabolism",34
"Pyrimidine synthesis",21
"Pyruvate metabolism",32
"R group synthesis",6
"ROS detoxification",7
"Sphingolipid metabolism",133
"Squalene and cholesterol synthesis",5
"Starch and sucrose metabolism",42
"Steroid metabolism",90
"Taurine and hypotaurine metabolism",8
"Tetrahydrobiopterin metabolism",18
"Thiamine metabolism",6
"Transport, endoplasmic reticular",211
"Transport, extracellular",2652
"Transport, golgi apparatus",98
"Transport, lysosomal",105
"Transport, mitochondrial",453
"Transport, nuclear",71
"Transport, peroxisomal",154
"Triacylglycerol synthesis",9
"Tryptophan metabolism",45
"Tyrosine metabolism",93
"Ubiquinone synthesis",18
"Urea cycle",40
"Valine, leucine, and isoleucine metabolism",45
"Vitamin A metabolism",47
"Vitamin B12 metabolism",1
"Vitamin B2 metabolism",9
"Vitamin B6 metabolism",11
"Vitamin C metabolism",10
"Vitamin D metabolism",13
"Vitamin E metabolism",5
"Xenobiotics metabolism",2
